CMDLINE /home/nel/anaconda3/envs/caiman/bin/python3.7 memory.py
MEM 1.917969 1584632018.0794
MEM 24.535156 1584632018.1797
MEM 40.625000 1584632018.2800
MEM 47.328125 1584632018.3802
MEM 47.328125 1584632018.4805
MEM 47.328125 1584632018.5807
MEM 47.328125 1584632018.6810
MEM 49.941406 1584632018.7812
MEM 50.410156 1584632018.8814
MEM 50.648438 1584632018.9817
MEM 51.382812 1584632019.0819
MEM 51.687500 1584632019.1822
MEM 51.937500 1584632019.2824
MEM 52.195312 1584632019.3826
MEM 52.429688 1584632019.4828
MEM 52.429688 1584632019.5831
MEM 52.683594 1584632019.6833
MEM 52.683594 1584632019.7836
MEM 53.375000 1584632019.8838
MEM 92.687500 1584632019.9840
MEM 95.414062 1584632020.0843
MEM 100.867188 1584632020.1845
MEM 108.355469 1584632020.2848
MEM 111.964844 1584632020.3850
MEM 113.457031 1584632020.4853
MEM 115.457031 1584632020.5856
MEM 117.511719 1584632020.6858
MEM 118.011719 1584632020.7860
MEM 118.687500 1584632020.8862
MEM 118.800781 1584632020.9865
MEM 121.289062 1584632021.0867
MEM 122.128906 1584632021.1870
MEM 123.292969 1584632021.2872
MEM 123.800781 1584632021.3875
MEM 126.000000 1584632021.4877
MEM 126.359375 1584632021.5880
MEM 132.945312 1584632021.6883
MEM 139.453125 1584632021.7885
MEM 139.957031 1584632021.8888
MEM 139.957031 1584632021.9890
MEM 140.210938 1584632022.0892
MEM 140.210938 1584632022.1895
MEM 140.210938 1584632022.2897
MEM 142.371094 1584632022.3900
MEM 143.902344 1584632022.4902
MEM 144.613281 1584632022.5904
MEM 144.613281 1584632022.6907
MEM 145.410156 1584632022.7909
MEM 146.074219 1584632022.8912
MEM 146.074219 1584632022.9915
MEM 146.214844 1584632023.0918
MEM 147.097656 1584632023.1921
MEM 151.148438 1584632023.2923
MEM 151.988281 1584632023.3926
MEM 157.417969 1584632023.4928
MEM 165.734375 1584632023.5931
MEM 166.945312 1584632023.6934
MEM 167.554688 1584632023.7936
MEM 168.019531 1584632023.8938
MEM 169.542969 1584632023.9941
MEM 178.753906 1584632024.0943
MEM 183.132812 1584632024.1946
MEM 190.835938 1584632024.2949
MEM 194.761719 1584632024.3951
MEM 196.546875 1584632024.4954
MEM 197.164062 1584632024.5957
MEM 197.164062 1584632024.6959
MEM 197.164062 1584632024.7961
MEM 197.164062 1584632024.8963
MEM 197.164062 1584632024.9966
MEM 199.597656 1584632025.0968
MEM 206.785156 1584632025.1971
MEM 211.312500 1584632025.2973
MEM 214.312500 1584632025.3976
MEM 216.660156 1584632025.4978
MEM 219.628906 1584632025.5981
MEM 219.628906 1584632025.6983
MEM 219.953125 1584632025.7985
MEM 219.953125 1584632025.8987
MEM 219.953125 1584632025.9990
MEM 219.953125 1584632026.0992
MEM 220.136719 1584632026.1994
MEM 220.136719 1584632026.2997
MEM 220.136719 1584632026.3999
MEM 220.136719 1584632026.5001
MEM 220.136719 1584632026.6004
MEM 220.136719 1584632026.7006
MEM 220.136719 1584632026.8008
MEM 220.136719 1584632026.9010
MEM 220.136719 1584632027.0013
MEM 220.136719 1584632027.1015
MEM 220.406250 1584632027.2017
MEM 220.406250 1584632027.3020
MEM 220.406250 1584632027.4022
MEM 220.406250 1584632027.5024
MEM 220.406250 1584632027.6027
MEM 220.406250 1584632027.7029
MEM 220.406250 1584632027.8031
MEM 220.406250 1584632027.9033
MEM 220.660156 1584632028.0036
MEM 220.660156 1584632028.1038
MEM 220.660156 1584632028.2040
MEM 220.660156 1584632028.3043
MEM 220.660156 1584632028.4045
MEM 220.660156 1584632028.5047
MEM 220.660156 1584632028.6049
MEM 220.660156 1584632028.7052
MEM 220.917969 1584632028.8054
MEM 220.949219 1584632028.9056
MEM 220.949219 1584632029.0059
MEM 220.949219 1584632029.1062
MEM 220.949219 1584632029.2064
MEM 220.949219 1584632029.3067
MEM 220.949219 1584632029.4069
MEM 220.949219 1584632029.5071
MEM 220.949219 1584632029.6073
MEM 220.949219 1584632029.7075
MEM 220.949219 1584632029.8077
MEM 220.949219 1584632029.9079
MEM 220.949219 1584632030.0081
MEM 220.949219 1584632030.1083
MEM 220.949219 1584632030.2086
MEM 220.949219 1584632030.3087
MEM 220.949219 1584632030.4090
MEM 220.949219 1584632030.5092
MEM 220.949219 1584632030.6095
MEM 220.949219 1584632030.7097
MEM 220.949219 1584632030.8099
MEM 220.949219 1584632030.9101
MEM 220.949219 1584632031.0104
MEM 220.949219 1584632031.1106
MEM 221.230469 1584632031.2108
MEM 221.230469 1584632031.3111
MEM 221.230469 1584632031.4113
MEM 221.230469 1584632031.5115
MEM 221.230469 1584632031.6117
MEM 221.230469 1584632031.7120
MEM 221.230469 1584632031.8122
MEM 221.230469 1584632031.9125
MEM 221.230469 1584632032.0127
MEM 221.230469 1584632032.1129
MEM 221.230469 1584632032.2131
MEM 221.230469 1584632032.3134
MEM 221.230469 1584632032.4136
MEM 221.230469 1584632032.5138
MEM 221.230469 1584632032.6140
MEM 221.230469 1584632032.7143
MEM 221.230469 1584632032.8145
MEM 221.230469 1584632032.9147
MEM 221.230469 1584632033.0149
MEM 221.230469 1584632033.1151
