CMDLINE /home/nel/anaconda3/envs/caiman/bin/python3.7 memory.py
MEM 2200.687500 1584631924.0405
MEM 1948.351562 1584631924.1408
MEM 1909.675781 1584631924.2410
MEM 2099.164062 1584631924.3413
MEM 2181.625000 1584631924.4416
MEM 2183.429688 1584631924.5419
MEM 2174.972656 1584631924.6422
MEM 1909.691406 1584631924.7424
MEM 1965.375000 1584631924.8427
MEM 2195.601562 1584631924.9430
MEM 2176.750000 1584631925.0433
MEM 2188.609375 1584631925.1437
MEM 2024.949219 1584631925.2440
MEM 1909.714844 1584631925.3443
MEM 2105.132812 1584631925.4446
MEM 2193.261719 1584631925.5449
MEM 2196.871094 1584631925.6451
MEM 2149.175781 1584631925.7454
MEM 1909.726562 1584631925.8457
MEM 1944.785156 1584631925.9460
MEM 2173.980469 1584631926.0463
MEM 2155.382812 1584631926.1465
MEM 2251.804688 1584631926.2468
MEM 2215.453125 1584631926.3471
MEM 1909.746094 1584631926.4474
MEM 1994.046875 1584631926.5477
MEM 2252.890625 1584631926.6480
MEM 2169.593750 1584631926.7483
MEM 2212.941406 1584631926.8486
MEM 1909.777344 1584631926.9489
MEM 1909.777344 1584631927.0491
MEM 2131.234375 1584631927.1494
MEM 2213.167969 1584631927.2497
MEM 2211.363281 1584631927.3499
MEM 2164.699219 1584631927.4502
MEM 1909.781250 1584631927.5505
MEM 1909.781250 1584631927.6507
MEM 2138.457031 1584631927.7511
MEM 2236.371094 1584631927.8514
MEM 2234.308594 1584631927.9516
MEM 2187.128906 1584631928.0519
MEM 1909.781250 1584631928.1522
MEM 1985.316406 1584631928.2525
MEM 2220.957031 1584631928.3528
MEM 2201.570312 1584631928.4531
MEM 2163.929688 1584631928.5534
MEM 2250.812500 1584631928.6537
MEM 1909.785156 1584631928.7540
MEM 1962.117188 1584631928.8542
MEM 2186.671875 1584631928.9545
MEM 2441.648438 1584631929.0548
MEM 2432.039062 1584631929.1551
MEM 2479.992188 1584631929.2554
MEM 2479.992188 1584631929.3557
MEM 2478.187500 1584631929.4560
MEM 2458.539062 1584631929.5562
MEM 1909.800781 1584631929.6565
MEM 1909.800781 1584631929.7568
MEM 1909.804688 1584631929.8571
MEM 659.488281 1584631929.9574
MEM 460.035156 1584631930.0577
